"Table 1.12 Factors affecting occupational utilization, projected 2021-31",,,,
2020 National Employment Matrix occupation title,2021 National Empoyment Matrix occupation code,2021 National Employment Matrix industry title,2021 National Empoyment Matrix industry code,Factors affecting occupational utilization
Human resources specialists,13-1071,"Management, scientific, and technical consulting services",541600,Sourcing change - share increases as companies increasingly contract HR services from these firms.
Human resources specialists,13-1071,Office administrative services,561100,Sourcing change - share increases as companies increasingly contract HR services from these firms.
Labor relations specialists,13-1075,Total employment,TE1000,"Demand change - share decreases as the percentage of workers who are union members declines, and fewer unionized workers means less need for labor relations specialists who work with management on their behalf."
Logisticians,13-1081,Total employment,TE1000,Demand change - share increases as the growth of e-commerce makes logistics more dynamic and complex.
Logisticians,13-1081,Other pipeline transportation,486900,"Demand change - share increases as expanded pipeline networks, more complex transportation schedules, and volatility in oil markets boosts demand for logisticians in pipeline transportation."
Logisticians,13-1081,Freight transportation arrangement,488500,Demand change - share increases as the growth of e-commerce makes logistics more dynamic and complex.
Logisticians,13-1081,Warehousing and storage,493000,Demand change - share increases as the growth of e-commerce makes logistics more dynamic and complex.
Logisticians,13-1081,"Federal government, excluding postal service",999100,Demand change - share increases as an increasingly globalized economy will continue to make logistics more dynamic and complex.
Project management specialists,13-1082,Computer systems design and related services,541500,Demand change - share increases as more project management specialists will be needed to manage the growing volume and complexity of IT projects needed to support expanded telework. Project managers will be needed to ensure that tech projects are completed on time and within budget.
Project management specialists,13-1082,Management of companies and enterprises,551000,Demand change - share increases as an expected increase in business activities and investments into digital technology increase demand to manage and support expanded business operations by managing offices.
Project management specialists,13-1082,"Federal government, excluding postal service",999100,Demand change - share increases as the federal government continues to fend off cyber threats from both domestic and international bad actors.
Management analysts,13-1111,Management of companies and enterprises,551000,Demand change - share increases as an expected increase in business activities and investments into digital technology increase demand to manage and analyze new business operations by managing offices.
Management analysts,13-1111,"Federal government, excluding postal service",999100,Demand change - share increases as government agencies increasingly seek the expertise of public sector consultants.
Management analysts,13-1111,"State government, excluding education and hospitals",999200,Demand change - share increases as government agencies increasingly seek the expertise of public sector consultants.
Training and development specialists,13-1151,Computer systems design and related services,541500,Sourcing change - share increases as more outside materials are purchased for use rather than being developed in-house.
Market research analysts and marketing specialists,13-1161,Total employment,TE1000,Demand change - share increases as businesses will need market research analysts to analyze the increasing amounts of data collected in order to support and improve business decisions.
Market research analysts and marketing specialists,13-1161,"Advertising, public relations, and related services",541800,"Demand change - share increases as advertising shifts to digital platforms and businesses in advertising, public relations, and related services will need market research analysts to analyze the increasing amounts of data collected in order to support and improve marketing decisions."
"Business operations specialists, all other",13-1199,Computer systems design and related services,541500,Demand change - share increases as more project management specialists will be needed to manage the growing volume and complexity of IT projects needed to support expanded telework. Project managers will be needed to ensure that tech projects are completed on time and within budget.
"Business operations specialists, all other",13-1199,Management of companies and enterprises,551000,Demand change - share increases as an expected increase in business activities and investments into digital technology increase demand to manage and support expanded business operations by managing offices.
Credit analysts,13-2041,Total employment,TE1000,Productivity change - share decreases as companies increase the productivity of credit analysts by using more data and machine learning in the credit risk analyses process.
Financial and investment analysts,13-2051,Other investment pools and funds,525900,Demand change - share increases as corporations and investors increasingly seek to protect and grow their assets and investments via funds managed by financial and investments analysts.
Personal financial advisors,13-2052,"Credit intermediation and related activities (5221,3)",5220A1,"Demand change, productivity change - share increases as an aging population drives demand for investment advisory services. This demand will be partially offset by the use of robo-advisors in place of personal financial advisors."
Personal financial advisors,13-2052,"Securities, commodity contracts, and other financial investments and related activities",523000,"Demand change, productivity change - share increases as an aging population drives demand for investment advisory services. This demand will be partially offset by the use of robo-advisors in place of personal financial advisors."
Insurance underwriters,13-2053,Total employment,TE1000,"Productivity change - share decreases as automated underwriting systems will allow more applications to be handled by computer processing, reducing the needed number of insurance underwriters."
Insurance underwriters,13-2053,Insurance agencies and brokerages,524210,"Productivity change - share decreases as automated underwriting systems will allow more applications to be handled by computer processing, reducing the needed number of insurance underwriters."
Insurance underwriters,13-2053,Other insurance related activities,524290,"Productivity change - share decreases as automated underwriting systems will allow more applications to be handled by computer processing, reducing the needed number of insurance underwriters."
Financial examiners,13-2061,Other nondepository credit intermediation,522290,"Demand change - share increases as financial institutions will devote more resources to regulatory compliance, including the hiring of financial examiners."
Financial examiners,13-2061,"Credit intermediation and related activities (5221,3)",5220A1,"Demand change - share increases as financial institutions will devote more resources to regulatory compliance, including the hiring of financial examiners."
Financial examiners,13-2061,"Securities, commodity contracts, and other financial investments and related activities",523000,"Demand change - share increases as financial institutions will devote more resources to regulatory compliance, including the hiring of financial examiners."
Financial examiners,13-2061,Management of companies and enterprises,551000,"Demand change - share increases as financial institutions will devote more resources to regulatory compliance, including the hiring of financial examiners."
Loan officers,13-2072,Other nondepository credit intermediation,522290,"Productivity change - share decreases as companies adopt automated systems, which can perform data processing tasks and require reduced interactions with customers, thereby enabling fewer officers to complete loan applications."
Loan officers,13-2072,"Credit intermediation and related activities (5221,3)",5220A1,"Productivity change - share decreases as companies adopt automated systems, which can perform data processing tasks and require reduced interactions with customers, thereby enabling fewer officers to complete loan applications."
"Tax examiners and collectors, and revenue agents",13-2081,"Federal government, excluding postal service",999100,Demand change - share decreases as IRS budget cuts continue to restrict employment of these workers more severely than for others in federal government.
Computer systems analysts,15-1211,"Data processing, hosting, and related services",518000,Demand change - share increases as computer cloud solutions and applications expand.
Computer systems analysts,15-1211,Monetary authorities-central bank,521000,"Demand change - share increases as new digital payment systems continue to be introduced in the financial and monetary systems, requiring more computer systems analysts within the federal central bank system to analyze and maintain the integrity of those systems."
Computer systems analysts,15-1211,"Direct insurance (except life, health, and medical) carriers",524120,Demand change - share increases as companies require new technology to support digitalization and automation of work processes.
Computer systems analysts,15-1211,"Accounting, tax preparation, bookkeeping, and payroll services",541200,"Demand change - share increases as more devices, including software applications used on smart phones and other devices, will be needed to address data processing problems."
Computer systems analysts,15-1211,Computer systems design and related services,541500,Demand change - share increases as computer cloud solutions and applications expand.
Information security analysts,15-1212,Total employment,TE1000,Demand change - share increases as firms increase their IT security staffs and capabilities as a response to increasing threats of cyber attacks aimed at sensitive or financial data.
Information security analysts,15-1212,Computer systems design and related services,541500,Demand change - share increases as firms increase their IT security staffs and capabilities as a response to increasing threats of cyber attacks aimed at sensitive or financial data.
Computer and information research scientists,15-1221,Total employment,TE1000,Demand change - share increases as continued demand for new and improved approaches to solve complex computing challenges are needed to support expanding technologies will support an increased demand for computer and information research scientists.
Computer network support specialists,15-1231,"Data processing, hosting, and related services",518000,Demand change - share increases as the demand for upgraded computer equipment and software increases with the expansion in cloud computing and other services.
Computer network support specialists,15-1231,Computer systems design and related services,541500,"Sourcing change - share increases as companies outsource their IT needs to this industry, and specialists respond to complex network requests that cannot be solved through increasingly automated software tools."
Computer user support specialists,15-1232,Total employment,TE1000,"Sourcing change, productivity change - share decreases as specialized businesses and industries solve computer troubleshooting needs through automated tools such as chatbots, and businesses find these tools handle most problems their users face."
Computer user support specialists,15-1232,"Data processing, hosting, and related services",518000,Demand change - share increases as the demand for upgraded computer equipment and software increases with the expansion in cloud computing and other services.
Computer user support specialists,15-1232,Computer systems design and related services,541500,"Sourcing change - share increases as companies outsource their IT needs to this industry, and specialists respond to complex user requests that cannot be solved through increasingly automated software tools."
Computer network architects,15-1241,Total employment,TE1000,"Sourcing change - share decreases as computer network tasks continue to be automated and consolidated, reducing the demand for computer network architects."
Database administrators,15-1242,"Data processing, hosting, and related services",518000,Demand change - share increases as the demand for upgraded computer equipment and software increases with the expansion in cloud computing and other services.
Database architects,15-1243,"Data processing, hosting, and related services",518000,Demand change - share increases as the demand for upgraded computer equipment and software increases with the expansion in cloud computing and other services.
Database architects,15-1243,"Federal government, excluding postal service",999100,Demand change - share increases as the federal government continues to fend off cyber threats from both domestic and international bad actors.
Network and computer systems administrators,15-1244,Total employment,TE1000,"Sourcing change - share decreases as computer network tasks continue to be automated and consolidated, reducing the demand for network and computer systems administrators."
Computer programmers,15-1251,Total employment,TE1000,"Productivity change - share decreases as computer programming work continues to be automated, allowing computer programmers to become more efficient in some of their tasks."
Computer programmers,15-1251,Computer systems design and related services,541500,Occupational substitution - share decreases as computer programming tasks are more commonly performed by other computer occupations.
Software developers,15-1252,Total employment,TE1000,"Demand change - share increases as continued demand for devices to include software components and are connected to the internet, including IoT connected devices, will support an increased demand for software developers."
Software developers,15-1252,"Research and development in the physical, engineering, and life sciences",541710,"Demand change - share increases as research and development of technologies such as artificial intelligence (AI), Internet of Things (IoT), autonomous and electric vehicles, robotics and other automation applications, and various other technologies is expected to drive demand for research and development of new software that will enable and deploy these various technologies."
Software quality assurance analysts and testers,15-1253,Total employment,TE1000,"Demand change - share increases as software development enhancements needed to support expanding technologies, including Internet of Things (IoT) connected devices, will support an increased demand for software quality assurance analysts and testers."
Software quality assurance analysts and testers,15-1253,"Federal government, excluding postal service",999100,Demand change - share increases as the federal government continues to fend off cyber threats from both domestic and international bad actors.
Web developers,15-1254,Total employment,TE1000,"Demand change - share increases as website and web application development is expanded as e-commerce continues to expand, increasing the demand for web developers."
Web and digital interface designers,15-1255,Total employment,TE1000,"Demand change - share increases as website and web application development is expanded as e-commerce continues to expand, increasing the demand for web and digital interface designers."
Web and digital interface designers,15-1255,"Federal government, excluding postal service",999100,Demand change - share increases as the federal government continues to fend off cyber threats from both domestic and international bad actors.
"Computer occupations, all other",15-1299,"Federal government, excluding postal service",999100,Demand change - share increases as the federal government continues to fend off cyber threats from both domestic and international bad actors.
Actuaries,15-2011,Total employment,TE1000,"Demand change - share increases as a greater emphasis on identifying, quantifying, and managing risks leads to greater demand for actuaries to analyze the financial costs of risks and uncertainty."
Operations research analysts,15-2031,Total employment,TE1000,Demand change - share increases as larger amounts of digital and electronic data are collected over the projections decade. Businesses in all industries will hire operations research analysts to analyze data to help optimize and improve business processes.
Statisticians,15-2041,Total employment,TE1000,Demand change - share increases as larger amounts of digital and electronic data are collected over the projections decade. Businesses in all industries will hire statisticians to analyze data to help improve business processes and design and develop new products.
Data scientists,15-2051,Total employment,TE1000,Demand change - share increases as larger amounts of digital and electronic data are collected over the projections decade. Businesses in all industries will hire data scientists to analyze data to help improve business processes and design and develop new products.
"Mathematical science occupations, all other",15-2099,Total employment,TE1000,Demand change - share increases as larger amounts of digital and electronic data are collected over the next decade. Businesses in all industries will hire data scientists to analyze data to help improve business processes and design and develop new products.
"Architects, except landscape and naval",17-1011,Engineering services,541330,Occupational substitution - share increases as architects take on the duties formerly performed by architectural paraprofessionals.
Aerospace engineers,17-2011,"Navigational, measuring, electromedical, and control instruments manufacturing",334500,Demand change - share increases as aerospace engineers are needed to support research and new improvements in drones and small satellites.
Aerospace engineers,17-2011,Engineering services,541330,"Demand change - share increases as aerospace engineers are needed to support development and research in new types of aircraft, such as electric-hybrid airplanes, and spacecraft as interest in space increases."
Aerospace engineers,17-2011,"Research and development in the physical, engineering, and life sciences",541710,"Demand change - share increases as aerospace engineers are needed to support development and research in new types of aircraft, such as electric-hybrid airplanes, and spacecraft as interest in space increases."
Aerospace engineers,17-2011,"Federal government, excluding postal service",999100,"Demand change - share increases as aerospace engineers are needed to support the government#39;s increased interest in space, especially given the newly established Space Force military branch."
Bioengineers and biomedical engineers,17-2031,"Research and development in the physical, engineering, and life sciences",541710,Demand change - share increases as expected strong growth in demand for biotechnology research and development should drive demand for bioengineers and biomedical engineers.
Chemical engineers,17-2041,"Chemical manufacturing (3251,2,3,9)",3250A1,"Demand change - share increases as chemical manufacturing processes undergo increasing complexity and requirements changes (availability, sustainability); there will be more of a need for chemical engineers, who are tasked with designing these manufacturing systems and processes."
Civil engineers,17-2051,Nonresidential building construction,236200,Demand change - share increases as demand for new infrastructure projects will lead to more demand for civil engineers.
Civil engineers,17-2051,Engineering services,541330,Demand change - share increases as demand for new infrastructure projects will lead to more demand for civil engineers.
Civil engineers,17-2051,"Federal government, excluding postal service",999100,Demand change - share increases as demand for new infrastructure projects will lead to more demand for civil engineers.
Civil engineers,17-2051,"State government, excluding education and hospitals",999200,Demand change - share increases as demand for new infrastructure projects will lead to more demand for civil engineers.
Civil engineers,17-2051,"Local government, excluding education and hospitals",999300,Demand change - share increases as demand for new infrastructure projects will lead to more demand for civil engineers.
Computer hardware engineers,17-2061,Computer systems design and related services,541500,"Demand change - share decreases as companies increase their focus on software innovation compared to hardware to support expanded use of growing technologies, tempering the demand for computer hardware engineers."
Electrical engineers,17-2071,Electric lighting equipment manufacturing,335100,Demand change - share increases as these workers are needed to continue developments in LED efficiency and technology.
"Electronics engineers, except computer",17-2072,Telecommunications,517000,"Demand change - share increases as firms require more electronics engineers to implement newer telecommunications technology, such as 5G."
Environmental engineers,17-2081,Total employment,TE1000,Demand change - share increases as growing public concern around the effects of climate change and the need to improve water and air quality will support demand for environmental engineers.
Industrial engineers,17-2112,Pharmaceutical and medicine manufacturing,325400,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,"Fabricated metal product manufacturing (3321,2,5,6,9)",3320A1,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,Metalworking machinery manufacturing,333500,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,"Engine, turbine, and power transmission equipment manufacturing",333600,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,"Machinery manufacturing (3331,2,4,9)",3330A1,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,Communications equipment manufacturing,334200,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,Semiconductor and other electronic component manufacturing,334400,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,"Navigational, measuring, electromedical, and control instruments manufacturing",334500,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,Electrical equipment manufacturing,335300,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,Motor vehicle manufacturing,336100,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,Motor vehicle parts manufacturing,336300,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,Aerospace product and parts manufacturing,336400,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,Medical equipment and supplies manufacturing,339100,"Demand change - share increases as this occupation is expected to be in high demand to plan and develop systems that incorporate automation technologies and optimize production, coordinate increasingly complex manufacturing processes, and for their expertise in managing logistics and supply chains."
Industrial engineers,17-2112,Engineering services,541330,"Demand change - share increases as this occupation provides expertise with respect to automation, constructing supply chains, and 3D printing."
Marine engineers and naval architects,17-2121,Ship and boat building,336600,"Demand change - share increases as ships and ports in the U.S. continue to come under pressure to meet international standards on the reduction in air pollution from ships, driving demand for marine engineers and naval architects to design and operate ships and port facilities that meet stricter emissions requirements."
Marine engineers and naval architects,17-2121,Engineering services,541330,Demand change - share increases as this occupation provides expertise in construction of offshore wind platforms.
Materials engineers,17-2131,Iron and steel mills and ferroalloy manufacturing,331100,Demand change - share increases as more high tech and environmentally friendly materials and processes will be needed to meet production needs.
Materials engineers,17-2131,Aerospace product and parts manufacturing,336400,"Demand change - share increases as more high tech and environmentally friendly materials and processes will be needed to meet the needs of the aerospace industry, e.g. lighter, stronger materials to improve efficiency."
Materials engineers,17-2131,Engineering services,541330,Demand change - share increases as more high tech and environmentally friendly materials and processes will be needed to meet production needs.
Materials engineers,17-2131,"Research and development in the physical, engineering, and life sciences",541710,Demand change - share increases as more high tech and environmentally friendly materials and processes will be needed to meet production needs.
Mechanical engineers,17-2141,Commercial and service industry machinery manufacturing,333300,"Demand change - share increases as growing automation leads to greater complexity of both machines and manufacturing processes, which will lead to increased demand for high-skilled laborers such as mechanical engineers, who design these automation systems."
Mechanical engineers,17-2141,Metalworking machinery manufacturing,333500,"Demand change - share increases as growing automation leads to greater complexity of both machines and manufacturing processes, which will lead to increased demand for high-skilled laborers such as mechanical engineers, who design these automation systems."
Mechanical engineers,17-2141,"Engine, turbine, and power transmission equipment manufacturing",333600,"Demand change - share increases as growing automation leads to greater complexity of both machines and manufacturing processes, which will lead to increased demand for high-skilled laborers such as mechanical engineers, who design these automation systems."
Mechanical engineers,17-2141,"Machinery manufacturing (3331,2,4,9)",3330A1,"Demand change - share increases as growing automation leads to greater complexity of both machines and manufacturing processes, which will lead to increased demand for high-skilled laborers such as mechanical engineers, who design these automation systems."
Mechanical engineers,17-2141,Railroad rolling stock manufacturing,336500,"Demand change - share increases as growing automation leads to greater complexity of both machines and manufacturing processes, which will lead to increased demand for high-skilled laborers such as mechanical engineers, who design these automation systems."
"Mining and geological engineers, including mining safety engineers",17-2151,Oil and gas extraction,211000,"Sourcing change - share decreases as mining firms reduce costs by contracting out exploration, design, and production activities."
"Mining and geological engineers, including mining safety engineers",17-2151,Coal mining,212100,"Sourcing change - share decreases as mining firms reduce costs by contracting out exploration, design, and production activities."
"Mining and geological engineers, including mining safety engineers",17-2151,Metal ore mining,212200,"Sourcing change - share decreases as mining firms reduce costs by contracting out exploration, design, and production activities."
Architectural and civil drafters,17-3011,Engineering services,541330,Productivity change - share decreases as software advances allow drafters to perform their tasks more efficiently.
Electrical and electronics drafters,17-3012,Engineering services,541330,Productivity change - share decreases as software capabilities allow drafters to perform work more rapidly.
Mechanical drafters,17-3013,Total employment,TE1000,Productivity change - share decreases as software makes design process more efficient and allows drafters to produce designs for rapid prototype development.
"Drafters, all other",17-3019,Total employment,TE1000,Productivity change - share decreases as advanced CAD software allows design professionals to perform tasks more efficiently.
Aerospace engineering and operations technologists and technicians,17-3021,"Navigational, measuring, electromedical, and control instruments manufacturing",334500,Demand change - share increases as new aerospace products such as small satellites and drones require testing to comply with FAA regulations.
Aerospace engineering and operations technologists and technicians,17-3021,Engineering services,541330,Demand change - share increases as new aerospace products such as small satellites and drones require testing to comply with FAA regulations.
Aerospace engineering and operations technologists and technicians,17-3021,"Research and development in the physical, engineering, and life sciences",541710,"Demand change - share increases as emerging types of aircraft, such as electric-hybrid, increase in development, requiring more support from this occupation."
Civil engineering technologists and technicians,17-3022,Total employment,TE1000,"Productivity change - share decreases as fewer civil engineering technicians are needed due to improved drafting software, such as CAD, which increases their productivity."
Electrical and electronic engineering technologists and technicians,17-3023,Computer and peripheral equipment manufacturing,334100,Capital/labor substitution - share decreases as automation (e.g. robots) take over some of the responsibilities of this occupation.
Electrical and electronic engineering technologists and technicians,17-3023,Communications equipment manufacturing,334200,Capital/labor substitution - share decreases as automation (e.g. robots) take over some of the responsibilities of this occupation.
Electrical and electronic engineering technologists and technicians,17-3023,Semiconductor and other electronic component manufacturing,334400,Capital/labor substitution - share decreases as automation (e.g. robots) take over some of the responsibilities of this occupation.
Electrical and electronic engineering technologists and technicians,17-3023,"Navigational, measuring, electromedical, and control instruments manufacturing",334500,Capital/labor substitution - share decreases as automation (e.g. robots) take over some of the responsibilities of this occupation.
Electro-mechanical and mechatronics technologists and technicians,17-3024,Total employment,TE1000,Capital/labor substitution - share decreases as automation in manufacturing continues to increase.
Mechanical engineering technologists and technicians,17-3027,Computer and peripheral equipment manufacturing,334100,Capital/labor substitution - share decreases as automation and robotics take over some of the responsibilities of this occupation.
Biochemists and biophysicists,19-1021,"Research and development in the physical, engineering, and life sciences",541710,Demand change - share increases as expected strong growth in biotechnology research and development should drive demand for biochemists and biophysicists.
Microbiologists,19-1022,"Research and development in the physical, engineering, and life sciences",541710,"Demand change - share increases as demand for biofuels production increases, which requires advanced research and development from this occupation."
Conservation scientists,19-1031,Social advocacy organizations,813300,"Demand change - share increases as social advocacy for environmental protection and conservation is expected to increase over the projections decade, driving demand for conservation scientists."
Epidemiologists,19-1041,"Research and development in the physical, engineering, and life sciences",541710,"Demand change - share increases as more research is needed to effectively combat the adverse health consequences of diseases as advances in health technology improves the ability to discover, identify, and understand more about them."
Epidemiologists,19-1041,Research and development in the social sciences and humanities,541720,"Demand change - share increases as more research is needed to effectively combat the adverse health consequences of diseases as advances in health technology improves the ability to discover, identify, and understand more about them."
