style_simple,full_name,beer_name_full,abv,min_ibu,max_ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
Strong Ale,J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Lagavulin Whisky Cask),J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Lagavulin Whisky Cask),11.5,40,60,9,54,59,11,126,22,1,64,6,54,74,4.135922,3.808252,3.985437,4.024272,3.742718,206
Strong Ale,Dry Dock Brewing Co. Bligh's Barleywine Ale,Dry Dock Brewing Co. Bligh's Barleywine Ale,10,40,60,4,62,64,13,123,31,0,46,7,18,96,4.44,4.07,4.23,4.5,4.45,50
Strong Ale,J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Calvados Cask),J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Calvados Cask),11.5,40,60,9,38,48,23,188,74,0,93,22,30,93,4.149171,3.80663,4.069061,4.151934,3.922652,181
Strong Ale,J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Port Cask),J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Port Cask),11.5,40,60,7,48,38,23,148,36,0,89,9,14,76,4.266272,3.914201,4.192308,4.289941,4.044379,169
Strong Ale,Rock Art Brewery Ridge Runner,Rock Art Brewery Ridge Runner,7.2,40,60,9,53,20,27,80,22,2,45,29,5,114,3.505556,3.769444,3.325,3.458333,3.591667,180
Strong Ale,J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Sherry Cask),J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Sherry Cask),11.5,40,60,5,58,22,24,134,40,0,85,30,31,101,4.144828,3.868966,4.131034,4.134483,3.868966,145
Strong Ale,Olde Hickory Brewery Irish Walker,Olde Hickory Brewery Irish Walker,10.14,40,60,7,83,62,58,186,52,0,105,40,17,170,3.932692,3.980769,3.903846,3.971154,3.855769,52
Strong Ale,Ridgeway Brewing Criminally Bad Elf,Ridgeway Brewing Criminally Bad Elf,10.5,40,60,13,63,52,34,125,44,0,82,52,14,92,3.457143,3.62,3.465714,3.445714,3.388571,175
Strong Ale,Lift Bridge Brewery Commander,Lift Bridge Brewery Commander,12.5,40,60,4,51,71,10,96,17,0,34,11,66,95,3.964286,3.821429,4.071429,4.035714,4.035714,14
Strong Ale,Shipyard Brewing Co. Shipyard Barley Wine Style Ale (Pugsley's Signature Series),Shipyard Brewing Co. Shipyard Barley Wine Style Ale (Pugsley's Signature Series),8.5,40,60,23,99,30,65,124,42,0,63,54,20,130,3.666667,3.949612,3.631783,3.604651,3.635659,129
Strong Ale,Brouwerij De Molen Bommen & Granaten,Brouwerij De Molen Bommen & Granaten,15.2,40,60,11,55,39,36,144,45,0,88,30,6,70,3.892857,3.440476,3.714286,3.845238,3.702381,42
Strong Ale,Shipyard Brewing Co. Double Old Thumper Ale,Shipyard Brewing Co. Double Old Thumper Ale,11.2,40,60,2,62,63,57,145,54,0,80,68,17,125,3.515873,3.928571,3.531746,3.452381,3.357143,63
Strong Ale,Flossmoor Station Restaurant & Brewery Wooden Hell,Flossmoor Station Restaurant & Brewery Wooden Hell,9.5,40,60,11,77,90,35,134,28,0,78,44,51,143,4.605263,4.177632,4.460526,4.605263,4.546053,76
Strong Ale,Fuller Smith & Turner PLC Golden Pride,Fuller Smith & Turner PLC Golden Pride,8.5,40,60,9,48,54,37,101,35,0,59,39,4,111,4,4.083333,4.006944,4.145833,3.958333,72
Strong Ale,Pelican Pub & Brewery Stormwatcher's Winterfest,Pelican Pub & Brewery Stormwatcher's Winterfest,13,40,60,7,57,46,29,122,26,2,74,30,16,130,4.188679,4.037736,4.169811,4.283019,4.113208,53
Strong Ale,Stoudts Brewing Co. Old Abominable,Stoudts Brewing Co. Old Abominable,9,40,60,11,51,23,29,114,33,6,53,36,4,91,3.761905,3.936508,3.738095,3.68254,3.801587,63
Hybrid Beer,Brouwerij Bosteels DeuS (Brut Des Flandres),Brouwerij Bosteels DeuS (Brut Des Flandres),11.5,10,35,15,25,24,7,54,39,0,53,35,34,19,4.112457,4.311419,4.17474,4.181661,4.039792,289
Hybrid Beer,Mikkeller ApS Nelson Sauvignon (Nelson Sauvin Brut),Mikkeller ApS Nelson Sauvignon (Nelson Sauvin Brut),9,10,35,37,27,10,39,86,119,2,111,47,8,22,4.236111,4.111111,4.027778,4.180556,4.125,36
Hybrid Beer,Brouwerij De Landtsheer NV Malheur Bière Brut (Brut Reserve),Brouwerij De Landtsheer NV Malheur Bière Brut (Brut Reserve),12,10,35,29,45,29,16,91,65,6,79,35,13,47,4.029412,4.076471,4.047059,4.088235,4.088235,85
Hybrid Beer,Brouwerij De Landtsheer NV Malheur Brut Noir (Black Chocolate),Brouwerij De Landtsheer NV Malheur Brut Noir (Black Chocolate),12,10,35,20,78,40,17,124,49,0,95,21,16,70,4.027778,4.194444,4.131944,4.138889,4.069444,72
Hybrid Beer,Cobra Beer Partnership Limited Krait Prestige,Cobra Beer Partnership Limited Krait Prestige,8,10,35,35,31,35,21,104,49,0,62,30,9,72,3.393617,3.585106,3.617021,3.425532,3.62766,47
Hybrid Beer,Cervejaria Sudbrack Ltda Eisenbahn Lust,Cervejaria Sudbrack Ltda Eisenbahn Lust,11.5,10,35,21,48,43,18,109,65,4,67,20,28,62,3.717391,3.956522,3.782609,3.804348,3.695652,23
Hybrid Beer,Pivovarský D&#367;m amp - Pivní Sekt,Pivovarský D&#367;m amp - Pivní Sekt,5,10,35,10,12,3,10,14,22,0,24,16,3,15,3.75,4.25,4.25,3.75,4.25,2
Hybrid Beer,Cervejaria Sudbrack Ltda Eisenbahn Lust Prestige,Cervejaria Sudbrack Ltda Eisenbahn Lust Prestige,11.5,10,35,2,3,4,1,4,1,0,5,1,0,3,4.166667,4.166667,4.166667,4.333333,4.333333,3
Pale Ale,Goose Island Beer Co. Honker's Ale,Goose Island Beer Co. Honker's Ale,4.3,20,35,14,35,3,53,66,28,1,32,58,1,79,3.646552,3.768966,3.704023,3.824713,4.000575,870
Pale Ale,Fuller Smith & Turner PLC Fuller's London Pride,Fuller Smith & Turner PLC Fuller's London Pride,4.7,20,35,21,49,9,58,67,32,0,33,101,6,108,3.792364,3.895397,3.898536,3.976987,4.150105,956
Pale Ale,Coniston Brewing Co. Ltd Bluebird Bitter,Coniston Brewing Co. Ltd Bluebird Bitter,4.2,20,35,29,43,15,62,52,47,2,38,101,23,81,3.724265,3.806985,3.755515,3.862132,4.112132,272
Pale Ale,Shepherd Neame Ltd Spitfire (Premium Ale Export),Shepherd Neame Ltd Spitfire (Premium Ale Export),4.5,20,35,16,22,6,51,29,16,1,15,76,6,61,3.515385,3.869231,3.526923,3.688462,3.719231,130
Pale Ale,Rogue Ales Younger's Special Bitter,Rogue Ales Younger's Special Bitter,4.8,20,35,20,69,14,74,44,24,0,20,84,13,89,3.826087,3.846154,3.829431,3.948161,4.031773,299
Pale Ale,City Steam Brewery Café City Steam Naughty Nurse Pale Ale,City Steam Brewery Café City Steam Naughty Nurse Pale Ale,5,20,35,11,38,10,65,55,7,0,4,75,9,89,3.344828,3.551724,3.37931,3.5,3.586207,29
Pale Ale,Greene King / Morland Brewery Ruddles County,Greene King / Morland Brewery Ruddles County,4.7,20,35,15,60,9,65,49,20,0,24,93,14,97,3.564171,3.852941,3.692513,3.754011,3.818182,187
Pale Ale,Foster's Group Limited Foster's Special Bitter,Foster's Group Limited Foster's Special Bitter,5,20,35,20,39,8,37,31,30,1,19,43,2,56,2.663462,3.451923,2.919872,2.88141,3.157051,156
Pale Ale,Victory Brewing Company Uncle Teddy's Bitter,Victory Brewing Company Uncle Teddy's Bitter,4,20,35,12,83,5,58,44,24,1,25,85,32,88,3.848485,4.121212,4.136364,4.068182,4.469697,66
Pale Ale,Sharp's Brewery Doom Bar Bitter,Sharp's Brewery Doom Bar Bitter,4.3,20,35,8,50,2,45,36,10,1,8,49,23,64,3.452381,3.690476,3.5,3.452381,3.619048,21
Pale Ale,Two Brothers Brewing Company Long Haul Session Ale,Two Brothers Brewing Company Long Haul Session Ale,4.2,20,35,17,40,6,54,48,35,0,23,65,17,88,3.458333,3.784722,3.541667,3.541667,3.715278,72
Pale Ale,Gritty McDuff's Brewing Company Gritty McDuff's Best Bitter,Gritty McDuff's Brewing Company Gritty McDuff's Best Bitter,5,20,35,18,61,4,77,55,26,0,22,101,13,89,3.586066,3.75,3.627049,3.75,3.864754,122
