"Table 5.4 Education and training assignments by detailed occupation, 2021",,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Gambling surveillance officers and gambling investigators,33-9031,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards,33-9032,High school diploma or equivalent,None,Short-term on-the-job training
Crossing guards and flaggers,33-9091,No formal educational credential,None,Short-term on-the-job training
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,No formal educational credential,None,Short-term on-the-job training
Transportation security screeners,33-9093,High school diploma or equivalent,None,Short-term on-the-job training
School bus monitors,33-9094,High school diploma or equivalent,None,Short-term on-the-job training
"Protective service workers, all other",33-9099,High school diploma or equivalent,None,Short-term on-the-job training
Chefs and head cooks,35-1011,High school diploma or equivalent,5 years or more,None
First-line supervisors of food preparation and serving workers,35-1012,High school diploma or equivalent,Less than 5 years,None
"Cooks, fast food",35-2011,No formal educational credential,None,Short-term on-the-job training
"Cooks, institution and cafeteria",35-2012,No formal educational credential,None,Short-term on-the-job training
"Cooks, private household",35-2013,Postsecondary nondegree award,Less than 5 years,None
"Cooks, restaurant",35-2014,No formal educational credential,Less than 5 years,Moderate-term on-the-job training
"Cooks, short order",35-2015,No formal educational credential,None,Short-term on-the-job training
"Cooks, all other",35-2019,No formal educational credential,None,Moderate-term on-the-job training
Food preparation workers,35-2021,No formal educational credential,None,Short-term on-the-job training
Bartenders,35-3011,No formal educational credential,None,Short-term on-the-job training
Fast food and counter workers,35-3023,No formal educational credential,None,Short-term on-the-job training
Waiters and waitresses,35-3031,No formal educational credential,None,Short-term on-the-job training
"Food servers, nonrestaurant",35-3041,No formal educational credential,None,Short-term on-the-job training
Dining room and cafeteria attendants and bartender helpers,35-9011,No formal educational credential,None,Short-term on-the-job training
Dishwashers,35-9021,No formal educational credential,None,Short-term on-the-job training
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,No formal educational credential,None,Short-term on-the-job training
"Food preparation and serving related workers, all other",35-9099,No formal educational credential,None,Short-term on-the-job training
First-line supervisors of housekeeping and janitorial workers,37-1011,High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,High school diploma or equivalent,Less than 5 years,None
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,No formal educational credential,None,Short-term on-the-job training
Maids and housekeeping cleaners,37-2012,No formal educational credential,None,Short-term on-the-job training
"Building cleaning workers, all other",37-2019,No formal educational credential,None,Short-term on-the-job training
Pest control workers,37-2021,High school diploma or equivalent,None,Moderate-term on-the-job training
Landscaping and groundskeeping workers,37-3011,No formal educational credential,None,Short-term on-the-job training
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,High school diploma or equivalent,None,Moderate-term on-the-job training
Tree trimmers and pruners,37-3013,High school diploma or equivalent,None,Short-term on-the-job training
"Grounds maintenance workers, all other",37-3019,No formal educational credential,None,Short-term on-the-job training
First-line supervisors of gambling services workers,39-1013,High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of entertainment and recreation workers, except gambling services",39-1014,High school diploma or equivalent,Less than 5 years,None
First-line supervisors of personal service workers,39-1022,High school diploma or equivalent,Less than 5 years,None
Animal trainers,39-2011,High school diploma or equivalent,None,Moderate-term on-the-job training
Animal caretakers,39-2021,High school diploma or equivalent,None,Short-term on-the-job training
Gambling dealers,39-3011,High school diploma or equivalent,None,Short-term on-the-job training
Gambling and sports book writers and runners,39-3012,High school diploma or equivalent,None,Short-term on-the-job training
"Gambling service workers, all other",39-3019,High school diploma or equivalent,None,Short-term on-the-job training
Motion picture projectionists,39-3021,No formal educational credential,None,Short-term on-the-job training
"Ushers, lobby attendants, and ticket takers",39-3031,No formal educational credential,None,Short-term on-the-job training
Amusement and recreation attendants,39-3091,No formal educational credential,None,Short-term on-the-job training
Costume attendants,39-3092,High school diploma or equivalent,None,Short-term on-the-job training
"Locker room, coatroom, and dressing room attendants",39-3093,High school diploma or equivalent,None,Short-term on-the-job training
"Entertainment attendants and related workers, all other",39-3099,High school diploma or equivalent,None,Short-term on-the-job training
Embalmers,39-4011,Associate's degree,None,Long-term on-the-job training
Crematory operators,39-4012,High school diploma or equivalent,None,Short-term on-the-job training
Funeral attendants,39-4021,High school diploma or equivalent,None,Short-term on-the-job training
"Morticians, undertakers, and funeral arrangers",39-4031,Associate's degree,None,Long-term on-the-job training
Barbers,39-5011,Postsecondary nondegree award,None,None
"Hairdressers, hairstylists, and cosmetologists",39-5012,Postsecondary nondegree award,None,None
"Makeup artists, theatrical and performance",39-5091,Postsecondary nondegree award,None,None
Manicurists and pedicurists,39-5092,Postsecondary nondegree award,None,None
Shampooers,39-5093,No formal educational credential,None,Short-term on-the-job training
Skincare specialists,39-5094,Postsecondary nondegree award,None,None
Baggage porters and bellhops,39-6011,High school diploma or equivalent,None,Short-term on-the-job training
Concierges,39-6012,High school diploma or equivalent,None,Moderate-term on-the-job training
Tour and travel guides,39-7010,High school diploma or equivalent,None,Moderate-term on-the-job training
Childcare workers,39-9011,High school diploma or equivalent,None,Short-term on-the-job training
Exercise trainers and group fitness instructors,39-9031,High school diploma or equivalent,None,Short-term on-the-job training
Recreation workers,39-9032,High school diploma or equivalent,None,Short-term on-the-job training
Residential advisors,39-9041,High school diploma or equivalent,None,Short-term on-the-job training
"Personal care and service workers, all other",39-9099,High school diploma or equivalent,None,Short-term on-the-job training
First-line supervisors of retail sales workers,41-1011,High school diploma or equivalent,Less than 5 years,None
First-line supervisors of non-retail sales workers,41-1012,High school diploma or equivalent,Less than 5 years,None
Cashiers,41-2011,No formal educational credential,None,Short-term on-the-job training
Gambling change persons and booth cashiers,41-2012,No formal educational credential,None,Short-term on-the-job training
Counter and rental clerks,41-2021,No formal educational credential,None,Short-term on-the-job training
Parts salespersons,41-2022,No formal educational credential,None,Moderate-term on-the-job training
Retail salespersons,41-2031,No formal educational credential,None,Short-term on-the-job training
Advertising sales agents,41-3011,High school diploma or equivalent,None,Moderate-term on-the-job training
Insurance sales agents,41-3021,High school diploma or equivalent,None,Moderate-term on-the-job training
"Securities, commodities, and financial services sales agents",41-3031,Bachelor's degree,None,Moderate-term on-the-job training
Travel agents,41-3041,High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Bachelor's degree,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,High school diploma or equivalent,None,Moderate-term on-the-job training
Demonstrators and product promoters,41-9011,No formal educational credential,None,Short-term on-the-job training
Models,41-9012,No formal educational credential,None,None
Real estate brokers,41-9021,High school diploma or equivalent,Less than 5 years,None
Real estate sales agents,41-9022,High school diploma or equivalent,None,Moderate-term on-the-job training
Sales engineers,41-9031,Bachelor's degree,None,Moderate-term on-the-job training
Telemarketers,41-9041,No formal educational credential,None,Short-term on-the-job training
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,No formal educational credential,None,Short-term on-the-job training
"Sales and related workers, all other",41-9099,High school diploma or equivalent,None,None
First-line supervisors of office and administrative support workers,43-1011,High school diploma or equivalent,Less than 5 years,None
"Switchboard operators, including answering service",43-2011,High school diploma or equivalent,None,Short-term on-the-job training
Telephone operators,43-2021,High school diploma or equivalent,None,Short-term on-the-job training
"Communications equipment operators, all other",43-2099,High school diploma or equivalent,None,Short-term on-the-job training
Bill and account collectors,43-3011,High school diploma or equivalent,None,Moderate-term on-the-job training
Billing and posting clerks,43-3021,High school diploma or equivalent,None,Moderate-term on-the-job training
"Bookkeeping, accounting, and auditing clerks",43-3031,"Some college, no degree",None,Moderate-term on-the-job training
Gambling cage workers,43-3041,High school diploma or equivalent,None,Short-term on-the-job training
Payroll and timekeeping clerks,43-3051,High school diploma or equivalent,None,Moderate-term on-the-job training
Procurement clerks,43-3061,High school diploma or equivalent,None,Moderate-term on-the-job training
Tellers,43-3071,High school diploma or equivalent,None,Short-term on-the-job training
"Financial clerks, all other",43-3099,High school diploma or equivalent,None,Short-term on-the-job training
Brokerage clerks,43-4011,High school diploma or equivalent,None,Moderate-term on-the-job training
Correspondence clerks,43-4021,High school diploma or equivalent,None,Short-term on-the-job training
"Court, municipal, and license clerks",43-4031,High school diploma or equivalent,None,Long-term on-the-job training
"Credit authorizers, checkers, and clerks",43-4041,High school diploma or equivalent,None,Moderate-term on-the-job training
Customer service representatives,43-4051,High school diploma or equivalent,None,Short-term on-the-job training
"Eligibility interviewers, government programs",43-4061,High school diploma or equivalent,None,Moderate-term on-the-job training
File clerks,43-4071,High school diploma or equivalent,None,Short-term on-the-job training
"Hotel, motel, and resort desk clerks",43-4081,High school diploma or equivalent,None,Short-term on-the-job training
"Interviewers, except eligibility and loan",43-4111,High school diploma or equivalent,None,Short-term on-the-job training
"Library assistants, clerical",43-4121,High school diploma or equivalent,None,Short-term on-the-job training
Loan interviewers and clerks,43-4131,High school diploma or equivalent,None,Short-term on-the-job training
New accounts clerks,43-4141,High school diploma or equivalent,None,Moderate-term on-the-job training
Order clerks,43-4151,"Some college, no degree",None,Short-term on-the-job training
"Human resources assistants, except payroll and timekeeping",43-4161,Associate's degree,None,None
Receptionists and information clerks,43-4171,High school diploma or equivalent,None,Short-term on-the-job training
Reservation and transportation ticket agents and travel clerks,43-4181,High school diploma or equivalent,None,Short-term on-the-job training
"Information and record clerks, all other",43-4199,High school diploma or equivalent,None,Short-term on-the-job training
Cargo and freight agents,43-5011,High school diploma or equivalent,None,Short-term on-the-job training
Couriers and messengers,43-5021,High school diploma or equivalent,None,Short-term on-the-job training
Public safety telecommunicators,43-5031,High school diploma or equivalent,None,Moderate-term on-the-job training
"Dispatchers, except police, fire, and ambulance",43-5032,High school diploma or equivalent,None,Moderate-term on-the-job training
"Meter readers, utilities",43-5041,High school diploma or equivalent,None,Short-term on-the-job training
Postal service clerks,43-5051,High school diploma or equivalent,None,Short-term on-the-job training
Postal service mail carriers,43-5052,High school diploma or equivalent,None,Short-term on-the-job training
"Postal service mail sorters, processors, and processing machine operators",43-5053,High school diploma or equivalent,None,Short-term on-the-job training
"Production, planning, and expediting clerks",43-5061,High school diploma or equivalent,None,Moderate-term on-the-job training
"Shipping, receiving, and inventory clerks",43-5071,High school diploma or equivalent,None,Short-term on-the-job training
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,High school diploma or equivalent,None,Short-term on-the-job training
Executive secretaries and executive administrative assistants,43-6011,High school diploma or equivalent,Less than 5 years,None
Legal secretaries and administrative assistants,43-6012,High school diploma or equivalent,None,Moderate-term on-the-job training
Medical secretaries and administrative assistants,43-6013,High school diploma or equivalent,None,Moderate-term on-the-job training
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,High school diploma or equivalent,None,Short-term on-the-job training
Data entry keyers,43-9021,High school diploma or equivalent,None,Short-term on-the-job training
Word processors and typists,43-9022,High school diploma or equivalent,None,Short-term on-the-job training
Desktop publishers,43-9031,Associate's degree,None,Short-term on-the-job training
Insurance claims and policy processing clerks,43-9041,High school diploma or equivalent,None,Moderate-term on-the-job training
"Mail clerks and mail machine operators, except postal service",43-9051,High school diploma or equivalent,None,Short-term on-the-job training
"Office clerks, general",43-9061,High school diploma or equivalent,None,Short-term on-the-job training
"Office machine operators, except computer",43-9071,High school diploma or equivalent,None,Short-term on-the-job training
Proofreaders and copy markers,43-9081,Bachelor's degree,None,None
Statistical assistants,43-9111,Bachelor's degree,None,None
"Office and administrative support workers, all other",43-9199,High school diploma or equivalent,None,Short-term on-the-job training
"First-line supervisors of farming, fishing, and forestry workers",45-1011,High school diploma or equivalent,Less than 5 years,None
Agricultural inspectors,45-2011,Bachelor's degree,None,Moderate-term on-the-job training
Animal breeders,45-2021,High school diploma or equivalent,None,Short-term on-the-job training
"Graders and sorters, agricultural products",45-2041,No formal educational credential,None,Short-term on-the-job training
Agricultural equipment operators,45-2091,No formal educational credential,None,Moderate-term on-the-job training
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,No formal educational credential,None,Short-term on-the-job training
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,No formal educational credential,None,Short-term on-the-job training
"Agricultural workers, all other",45-2099,No formal educational credential,None,Short-term on-the-job training
Fishing and hunting workers,45-3031,No formal educational credential,None,Moderate-term on-the-job training
Forest and conservation workers,45-4011,High school diploma or equivalent,None,Moderate-term on-the-job training
Fallers,45-4021,High school diploma or equivalent,None,Moderate-term on-the-job training
Logging equipment operators,45-4022,High school diploma or equivalent,None,Moderate-term on-the-job training
Log graders and scalers,45-4023,High school diploma or equivalent,None,Moderate-term on-the-job training
"Logging workers, all other",45-4029,High school diploma or equivalent,None,Moderate-term on-the-job training
First-line supervisors of construction trades and extraction workers,47-1011,High school diploma or equivalent,5 years or more,None
Boilermakers,47-2011,High school diploma or equivalent,None,Apprenticeship
Brickmasons and blockmasons,47-2021,High school diploma or equivalent,None,Apprenticeship
Stonemasons,47-2022,High school diploma or equivalent,None,Apprenticeship
Carpenters,47-2031,High school diploma or equivalent,None,Apprenticeship
Carpet installers,47-2041,No formal educational credential,None,Short-term on-the-job training
"Floor layers, except carpet, wood, and hard tiles",47-2042,No formal educational credential,None,Moderate-term on-the-job training
Floor sanders and finishers,47-2043,No formal educational credential,None,Moderate-term on-the-job training
Tile and stone setters,47-2044,No formal educational credential,None,Long-term on-the-job training
Cement masons and concrete finishers,47-2051,No formal educational credential,None,Moderate-term on-the-job training
Terrazzo workers and finishers,47-2053,High school diploma or equivalent,None,Apprenticeship
Construction laborers,47-2061,No formal educational credential,None,Short-term on-the-job training
"Paving, surfacing, and tamping equipment operators",47-2071,High school diploma or equivalent,None,Moderate-term on-the-job training
Pile driver operators,47-2072,High school diploma or equivalent,None,Moderate-term on-the-job training
Operating engineers and other construction equipment operators,47-2073,High school diploma or equivalent,None,Moderate-term on-the-job training
Drywall and ceiling tile installers,47-2081,No formal educational credential,None,Moderate-term on-the-job training
Tapers,47-2082,No formal educational credential,None,Moderate-term on-the-job training
Electricians,47-2111,High school diploma or equivalent,None,Apprenticeship
Glaziers,47-2121,High school diploma or equivalent,None,Apprenticeship
"Insulation workers, floor, ceiling, and wall",47-2131,No formal educational credential,None,Short-term on-the-job training
"Insulation workers, mechanical",47-2132,High school diploma or equivalent,None,Apprenticeship
"Painters, construction and maintenance",47-2141,No formal educational credential,None,Moderate-term on-the-job training
Paperhangers,47-2142,No formal educational credential,None,Long-term on-the-job training
Pipelayers,47-2151,No formal educational credential,None,Short-term on-the-job training
"Plumbers, pipefitters, and steamfitters",47-2152,High school diploma or equivalent,None,Apprenticeship
Plasterers and stucco masons,47-2161,No formal educational credential,None,Long-term on-the-job training
Reinforcing iron and rebar workers,47-2171,High school diploma or equivalent,None,Apprenticeship
Roofers,47-2181,No formal educational credential,None,Moderate-term on-the-job training
Sheet metal workers,47-2211,High school diploma or equivalent,None,Apprenticeship
Structural iron and steel workers,47-2221,High school diploma or equivalent,None,Apprenticeship
Solar photovoltaic installers,47-2231,High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,No formal educational credential,None,Short-term on-the-job training
Helpers--carpenters,47-3012,No formal educational credential,None,Short-term on-the-job training
Helpers--electricians,47-3013,High school diploma or equivalent,None,Short-term on-the-job training
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,No formal educational credential,None,Short-term on-the-job training
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,High school diploma or equivalent,None,Short-term on-the-job training
Helpers--roofers,47-3016,No formal educational credential,None,Short-term on-the-job training
"Helpers, construction trades, all other",47-3019,No formal educational credential,None,Short-term on-the-job training
Construction and building inspectors,47-4011,High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Elevator and escalator installers and repairers,47-4021,High school diploma or equivalent,None,Apprenticeship
Fence erectors,47-4031,No formal educational credential,None,Moderate-term on-the-job training
Hazardous materials removal workers,47-4041,High school diploma or equivalent,None,Moderate-term on-the-job training
Highway maintenance workers,47-4051,High school diploma or equivalent,None,Moderate-term on-the-job training
Rail-track laying and maintenance equipment operators,47-4061,High school diploma or equivalent,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners,47-4071,High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,47-4090,High school diploma or equivalent,None,Moderate-term on-the-job training
"Derrick operators, oil and gas",47-5011,No formal educational credential,None,Short-term on-the-job training
"Rotary drill operators, oil and gas",47-5012,No formal educational credential,None,Moderate-term on-the-job training
"Service unit operators, oil and gas",47-5013,No formal educational credential,None,Moderate-term on-the-job training
"Excavating and loading machine and dragline operators, surface mining",47-5022,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Earth drillers, except oil and gas",47-5023,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
"Explosives workers, ordnance handling experts, and blasters",47-5032,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
Continuous mining machine operators,47-5041,No formal educational credential,None,Moderate-term on-the-job training
"Roof bolters, mining",47-5043,High school diploma or equivalent,None,Moderate-term on-the-job training
"Loading and moving machine operators, underground mining",47-5044,No formal educational credential,None,Short-term on-the-job training
"Underground mining machine operators, all other",47-5049,No formal educational credential,None,Moderate-term on-the-job training
"Rock splitters, quarry",47-5051,No formal educational credential,None,Short-term on-the-job training
"Roustabouts, oil and gas",47-5071,No formal educational credential,None,Moderate-term on-the-job training
Helpers--extraction workers,47-5081,High school diploma or equivalent,None,Moderate-term on-the-job training
"Extraction workers, all other",47-5099,High school diploma or equivalent,None,Moderate-term on-the-job training
"First-line supervisors of mechanics, installers, and repairers",49-1011,High school diploma or equivalent,Less than 5 years,None
"Computer, automated teller, and office machine repairers",49-2011,"Some college, no degree",None,Short-term on-the-job training
"Radio, cellular, and tower equipment installers and repairers",49-2021,Associate's degree,None,Moderate-term on-the-job training
"Telecommunications equipment installers and repairers, except line installers",49-2022,Postsecondary nondegree award,None,Moderate-term on-the-job training
Avionics technicians,49-2091,Associate's degree,None,None
"Electric motor, power tool, and related repairers",49-2092,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"Electronic equipment installers and repairers, motor vehicles",49-2096,High school diploma or equivalent,None,Moderate-term on-the-job training
Audiovisual equipment installers and repairers,49-2097,Postsecondary nondegree award,None,Short-term on-the-job training
Security and fire alarm systems installers,49-2098,High school diploma or equivalent,None,Moderate-term on-the-job training
Aircraft mechanics and service technicians,49-3011,Postsecondary nondegree award,None,None
Automotive body and related repairers,49-3021,High school diploma or equivalent,None,Long-term on-the-job training
Automotive glass installers and repairers,49-3022,High school diploma or equivalent,None,Moderate-term on-the-job training
Automotive service technicians and mechanics,49-3023,Postsecondary nondegree award,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists,49-3031,High school diploma or equivalent,None,Long-term on-the-job training
Farm equipment mechanics and service technicians,49-3041,High school diploma or equivalent,None,Long-term on-the-job training
"Mobile heavy equipment mechanics, except engines",49-3042,High school diploma or equivalent,None,Long-term on-the-job training
Rail car repairers,49-3043,High school diploma or equivalent,None,Long-term on-the-job training
Motorboat mechanics and service technicians,49-3051,High school diploma or equivalent,None,Long-term on-the-job training
Motorcycle mechanics,49-3052,Postsecondary nondegree award,None,Short-term on-the-job training
Outdoor power equipment and other small engine mechanics,49-3053,High school diploma or equivalent,None,Moderate-term on-the-job training
Bicycle repairers,49-3091,High school diploma or equivalent,None,Moderate-term on-the-job training
Recreational vehicle service technicians,49-3092,High school diploma or equivalent,None,Long-term on-the-job training
Tire repairers and changers,49-3093,High school diploma or equivalent,None,Short-term on-the-job training
Mechanical door repairers,49-9011,High school diploma or equivalent,None,Moderate-term on-the-job training
"Control and valve installers and repairers, except mechanical door",49-9012,High school diploma or equivalent,None,Moderate-term on-the-job training
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Postsecondary nondegree award,None,Long-term on-the-job training
Home appliance repairers,49-9031,High school diploma or equivalent,None,Moderate-term on-the-job training
Industrial machinery mechanics,49-9041,High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance workers, machinery",49-9043,High school diploma or equivalent,None,Long-term on-the-job training
Millwrights,49-9044,High school diploma or equivalent,None,Apprenticeship
"Refractory materials repairers, except brickmasons",49-9045,High school diploma or equivalent,None,Moderate-term on-the-job training
Electrical power-line installers and repairers,49-9051,High school diploma or equivalent,None,Long-term on-the-job training
Telecommunications line installers and repairers,49-9052,High school diploma or equivalent,None,Long-term on-the-job training
Camera and photographic equipment repairers,49-9061,High school diploma or equivalent,None,Long-term on-the-job training
Medical equipment repairers,49-9062,Associate's degree,None,Moderate-term on-the-job training
Musical instrument repairers and tuners,49-9063,High school diploma or equivalent,None,Apprenticeship
Watch and clock repairers,49-9064,High school diploma or equivalent,None,Long-term on-the-job training
"Precision instrument and equipment repairers, all other",49-9069,High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance and repair workers, general",49-9071,High school diploma or equivalent,None,Moderate-term on-the-job training
Wind turbine service technicians,49-9081,Postsecondary nondegree award,None,Long-term on-the-job training
"Coin, vending, and amusement machine servicers and repairers",49-9091,High school diploma or equivalent,None,Short-term on-the-job training
Commercial divers,49-9092,Postsecondary nondegree award,None,Moderate-term on-the-job training
Locksmiths and safe repairers,49-9094,High school diploma or equivalent,None,Long-term on-the-job training
Manufactured building and mobile home installers,49-9095,High school diploma or equivalent,None,Short-term on-the-job training
Riggers,49-9096,High school diploma or equivalent,None,Moderate-term on-the-job training
Signal and track switch repairers,49-9097,High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers--installation, maintenance, and repair workers",49-9098,High school diploma or equivalent,None,Short-term on-the-job training
"Installation, maintenance, and repair workers, all other",49-9099,High school diploma or equivalent,None,Moderate-term on-the-job training
First-line supervisors of production and operating workers,51-1011,High school diploma or equivalent,Less than 5 years,None
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,High school diploma or equivalent,None,Moderate-term on-the-job training
"Coil winders, tapers, and finishers",51-2021,High school diploma or equivalent,None,Moderate-term on-the-job training
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,High school diploma or equivalent,None,Moderate-term on-the-job training
Engine and other machine assemblers,51-2031,High school diploma or equivalent,None,Moderate-term on-the-job training
Structural metal fabricators and fitters,51-2041,High school diploma or equivalent,None,Moderate-term on-the-job training
Fiberglass laminators and fabricators,51-2051,High school diploma or equivalent,None,Moderate-term on-the-job training
Timing device assemblers and adjusters,51-2061,High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous assemblers and fabricators,51-2090,High school diploma or equivalent,None,Moderate-term on-the-job training
Bakers,51-3011,No formal educational credential,None,Moderate-term on-the-job training
Butchers and meat cutters,51-3021,No formal educational credential,None,Long-term on-the-job training
"Meat, poultry, and fish cutters and trimmers",51-3022,No formal educational credential,None,Short-term on-the-job training
Slaughterers and meat packers,51-3023,No formal educational credential,None,Short-term on-the-job training
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,No formal educational credential,None,Moderate-term on-the-job training
Food batchmakers,51-3092,High school diploma or equivalent,None,Moderate-term on-the-job training
Food cooking machine operators and tenders,51-3093,High school diploma or equivalent,None,Moderate-term on-the-job training
"Food processing workers, all other",51-3099,No formal educational credential,None,Moderate-term on-the-job training
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,High school diploma or equivalent,None,Moderate-term on-the-job training
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,High school diploma or equivalent,None,Moderate-term on-the-job training
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,High school diploma or equivalent,None,Moderate-term on-the-job training
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,High school diploma or equivalent,None,Moderate-term on-the-job training
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,High school diploma or equivalent,None,Moderate-term on-the-job training
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,High school diploma or equivalent,None,Moderate-term on-the-job training
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,High school diploma or equivalent,None,Moderate-term on-the-job training
Machinists,51-4041,High school diploma or equivalent,None,Long-term on-the-job training
Metal-refining furnace operators and tenders,51-4051,High school diploma or equivalent,None,Moderate-term on-the-job training
"Pourers and casters, metal",51-4052,High school diploma or equivalent,None,Moderate-term on-the-job training
"Model makers, metal and plastic",51-4061,High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, metal and plastic",51-4062,High school diploma or equivalent,None,Moderate-term on-the-job training
Foundry mold and coremakers,51-4071,High school diploma or equivalent,None,Moderate-term on-the-job training
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,High school diploma or equivalent,None,Moderate-term on-the-job training
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,High school diploma or equivalent,None,Moderate-term on-the-job training
Tool and die makers,51-4111,Postsecondary nondegree award,None,Long-term on-the-job training
"Welders, cutters, solderers, and brazers",51-4121,High school diploma or equivalent,None,Moderate-term on-the-job training
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,High school diploma or equivalent,None,Moderate-term on-the-job training
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,High school diploma or equivalent,None,Moderate-term on-the-job training
"Layout workers, metal and plastic",51-4192,High school diploma or equivalent,None,Moderate-term on-the-job training
"Plating machine setters, operators, and tenders, metal and plastic",51-4193,High school diploma or equivalent,None,Moderate-term on-the-job training
"Tool grinders, filers, and sharpeners",51-4194,High school diploma or equivalent,None,Moderate-term on-the-job training
"Metal workers and plastic workers, all other",51-4199,High school diploma or equivalent,None,Moderate-term on-the-job training
Prepress technicians and workers,51-5111,Postsecondary nondegree award,None,None
Printing press operators,51-5112,High school diploma or equivalent,None,Moderate-term on-the-job training
Print binding and finishing workers,51-5113,High school diploma or equivalent,None,Moderate-term on-the-job training
Laundry and dry-cleaning workers,51-6011,No formal educational credential,None,Short-term on-the-job training
"Pressers, textile, garment, and related materials",51-6021,No formal educational credential,None,Short-term on-the-job training
Sewing machine operators,51-6031,No formal educational credential,None,Short-term on-the-job training
Shoe and leather workers and repairers,51-6041,High school diploma or equivalent,None,Moderate-term on-the-job training
Shoe machine operators and tenders,51-6042,High school diploma or equivalent,None,Short-term on-the-job training
"Sewers, hand",51-6051,No formal educational credential,None,Moderate-term on-the-job training
"Tailors, dressmakers, and custom sewers",51-6052,No formal educational credential,None,Moderate-term on-the-job training
Textile bleaching and dyeing machine operators and tenders,51-6061,High school diploma or equivalent,None,Short-term on-the-job training
"Textile cutting machine setters, operators, and tenders",51-6062,High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,High school diploma or equivalent,None,Short-term on-the-job training
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,High school diploma or equivalent,None,Moderate-term on-the-job training
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,High school diploma or equivalent,None,Moderate-term on-the-job training
Fabric and apparel patternmakers,51-6092,High school diploma or equivalent,None,Moderate-term on-the-job training
Upholsterers,51-6093,High school diploma or equivalent,None,Moderate-term on-the-job training
