"Table 1.7 Occupational projections, 2021-31, and worker characteristics, 2021 (Numbers in thousands)",,,,,,,,,,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment change, 2021-31","Percent employment change, 2021-31","Percent self employed, 2021","Occupational openings, 2021-31 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Lodging managers,11-9081,Line item,51.2,60.4,9.2,18.0,23.6,7.1,"$59,430",High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,11-9111,Line item,480.7,616.9,136.2,28.3,6.5,56.6,"$101,340",Bachelor's degree,Less than 5 years,None
Natural sciences managers,11-9121,Line item,78.8,83.4,4.6,5.9,—,6.9,"$137,900",Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,11-9131,Line item,12.3,11.7,-0.6,-4.8,—,0.9,"$80,250",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",11-9141,Line item,392.9,404.0,11.1,2.8,37.3,33.3,"$59,230",High school diploma or equivalent,Less than 5 years,None
Social and community service managers,11-9151,Line item,173.7,194.1,20.4,11.7,5.0,18.0,"$74,000",Bachelor's degree,Less than 5 years,None
Emergency management directors,11-9161,Line item,10.6,10.9,0.3,2.5,—,0.9,"$76,730",Bachelor's degree,5 years or more,None
Personal service managers,11-9170,Summary,63.6,68.6,5.0,7.8,66.2,5.7,"$60,360",—,—,—
Funeral home managers,11-9171,Line item,40.7,43.5,2.8,6.9,66.9,3.6,"$74,000",Associate's degree,Less than 5 years,None
"Personal service managers, all other",11-9179,Line item,22.9,25.1,2.2,9.5,65.0,2.1,"$60,360",High school diploma or equivalent,Less than 5 years,None
"Managers, all other",11-9199,Line item,"1,305.8","1,384.3",78.4,6.0,58.5,113.1,"$124,650",Bachelor's degree,Less than 5 years,None
Business and financial operations occupations,13-0000,Summary,"9,987.4","10,702.5",715.1,7.2,4.4,980.2,"$76,570",—,—,—
Business operations specialists,13-1000,Summary,"6,766.8","7,283.0",516.2,7.6,3.8,688.6,"$76,040",—,—,—
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,22.6,25.7,3.1,13.8,24.6,2.8,"$78,410",Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,Line item,459.8,427.5,-32.2,-7.0,1.5,41.0,"$63,470",Bachelor's degree,None,Moderate-term on-the-job training
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,327.5,308.5,-19.0,-5.8,0.9,23.2,"$64,710",—,—,—
"Claims adjusters, examiners, and investigators",13-1031,Line item,314.3,295.9,-18.3,-5.8,0.9,22.3,"$65,080",High school diploma or equivalent,None,Long-term on-the-job training
"Insurance appraisers, auto damage",13-1032,Line item,13.2,12.5,-0.7,-5.3,1.1,0.9,"$62,680",Postsecondary nondegree award,None,Moderate-term on-the-job training
Compliance officers,13-1041,Line item,354.0,369.1,15.1,4.3,0.8,30.2,"$71,650",Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,Line item,212.1,207.7,-4.4,-2.1,0.4,18.5,"$65,170",Bachelor's degree,None,Moderate-term on-the-job training
Human resources workers,13-1070,Summary,849.0,906.4,57.4,6.8,1.6,87.9,"$62,490",—,—,—
Human resources specialists,13-1071,Line item,782.8,841.6,58.8,7.5,1.5,81.9,"$62,290",Bachelor's degree,None,None
Farm labor contractors,13-1074,Line item,1.2,1.5,0.3,22.3,—,0.2,"$47,770",No formal educational credential,Less than 5 years,Short-term on-the-job training
Labor relations specialists,13-1075,Line item,65.0,63.3,-1.7,-2.6,1.8,5.8,"$77,010",Bachelor's degree,Less than 5 years,None
Logisticians and project management specialists,13-1080,Summary,976.3,"1,086.7",110.4,11.3,1.1,95.2,"$82,010",—,—,—
Logisticians,13-1081,Line item,195.0,249.1,54.1,27.7,0.5,24.8,"$77,030",Bachelor's degree,None,None
Project management specialists,13-1082,Line item,781.4,837.6,56.3,7.2,1.3,70.4,"$94,500",Bachelor's degree,None,None
Management analysts,13-1111,Line item,950.6,"1,059.0",108.4,11.4,14.7,101.9,"$93,000",Bachelor's degree,Less than 5 years,None
"Meeting, convention, and event planners",13-1121,Line item,128.2,151.1,22.9,17.8,10.1,16.6,"$49,470",Bachelor's degree,None,None
Fundraisers,13-1131,Line item,105.8,117.6,11.8,11.2,—,11.4,"$60,660",Bachelor's degree,None,None
"Compensation, benefits, and job analysis specialists",13-1141,Line item,100.6,107.2,6.6,6.6,1.1,9.3,"$64,120",Bachelor's degree,Less than 5 years,None
Training and development specialists,13-1151,Line item,354.8,383.7,28.9,8.1,0.9,36.5,"$61,570",Bachelor's degree,Less than 5 years,None
Market research analysts and marketing specialists,13-1161,Line item,792.5,942.8,150.3,19.0,4.0,99.8,"$63,920",Bachelor's degree,None,None
"Business operations specialists, all other",13-1199,Line item,"1,133.0","1,190.0",57.0,5.0,2.4,114.2,"$74,670",Bachelor's degree,None,None
Financial specialists,13-2000,Summary,"3,220.6","3,419.4",198.9,6.2,5.7,291.6,"$77,300",—,—,—
Accountants and auditors,13-2011,Line item,"1,449.8","1,531.6",81.8,5.6,4.2,136.4,"$77,250",Bachelor's degree,None,None
Property appraisers and assessors,13-2020,Line item,76.1,79.2,3.1,4.0,20.9,6.8,"$61,340",Bachelor's degree,None,Long-term on-the-job training
Budget analysts,13-2031,Line item,50.4,51.8,1.4,2.8,—,4.0,"$79,940",Bachelor's degree,None,None
Credit analysts,13-2041,Line item,69.9,68.2,-1.8,-2.5,—,5.4,"$77,440",Bachelor's degree,None,None
Financial analysts and advisors,13-2050,Summary,827.4,904.6,77.2,9.3,9.6,70.9,"$81,730",—,—,—
Financial and investment analysts,13-2051,Line item,317.3,344.6,27.3,8.6,4.9,26.9,"$91,580",Bachelor's degree,None,None
Personal financial advisors,13-2052,Line item,330.3,381.2,50.9,15.4,18.9,30.5,"$94,170",Bachelor's degree,None,Long-term on-the-job training
Insurance underwriters,13-2053,Line item,123.3,117.8,-5.5,-4.5,1.1,8.4,"$76,390",Bachelor's degree,None,Moderate-term on-the-job training
Financial risk specialists,13-2054,Line item,56.5,61.1,4.6,8.1,0.7,5.1,"$100,000",Bachelor's degree,None,None
Financial examiners,13-2061,Line item,62.8,76.0,13.2,21.0,—,6.8,"$81,410",Bachelor's degree,None,Long-term on-the-job training
Credit counselors and loan officers,13-2070,Summary,389.8,405.7,15.8,4.1,1.1,32.6,"$62,030",—,—,—
Credit counselors,13-2071,Line item,35.3,38.5,3.3,9.3,0.9,3.2,"$47,580",Bachelor's degree,None,Moderate-term on-the-job training
Loan officers,13-2072,Line item,354.6,367.1,12.6,3.5,1.1,29.4,"$63,380",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,163.2,163.8,0.6,0.3,13.1,17.3,"$48,900",—,—,—
"Tax examiners and collectors, and revenue agents",13-2081,Line item,55.3,51.6,-3.7,-6.7,0.7,4.3,"$56,780",Bachelor's degree,None,Moderate-term on-the-job training
Tax preparers,13-2082,Line item,107.9,112.1,4.3,3.9,19.4,13.0,"$46,290",High school diploma or equivalent,None,Moderate-term on-the-job training
"Financial specialists, all other",13-2099,Line item,131.1,138.7,7.6,5.8,0.5,11.4,"$73,240",Bachelor's degree,None,None
Computer and mathematical occupations,15-0000,Summary,"4,951.5","5,716.3",764.8,15.4,2.3,449.2,"$97,540",—,—,—
Computer occupations,15-1200,Summary,"4,665.2","5,348.0",682.8,14.6,2.3,418.5,"$97,430",—,—,—
Computer and information analysts,15-1210,Summary,701.8,809.2,107.4,15.3,2.2,64.0,"$99,680",—,—,—
Computer systems analysts,15-1211,Line item,538.8,589.7,50.9,9.4,2.8,44.5,"$99,270",Bachelor's degree,None,None
Information security analysts,15-1212,Line item,163.0,219.5,56.5,34.7,0.2,19.5,"$102,600",Bachelor's degree,Less than 5 years,None
Computer and information research scientists,15-1221,Line item,33.5,40.6,7.1,21.3,2.7,3.3,"$131,490",Master's degree,None,None
Computer support specialists,15-1230,Summary,875.7,932.1,56.4,6.4,1.4,75.0,"$57,910",—,—,—
Computer network support specialists,15-1231,Line item,185.5,199.2,13.8,7.4,1.4,16.1,"$62,760",Associate's degree,None,Moderate-term on-the-job training
Computer user support specialists,15-1232,Line item,690.2,732.9,42.7,6.2,1.4,58.9,"$49,770","Some college, no degree",None,Moderate-term on-the-job training
Database and network administrators and architects,15-1240,Summary,652.5,684.2,31.7,4.9,0.5,47.2,"$98,680",—,—,—
Computer network architects,15-1241,Line item,174.8,182.3,7.5,4.3,0.5,11.8,"$120,520",Bachelor's degree,5 years or more,None
Database administrators,15-1242,Line item,91.8,99.2,7.4,8.1,0.6,7.2,"$96,710",Bachelor's degree,None,None
Database architects,15-1243,Line item,52.7,58.1,5.4,10.3,0.6,4.3,"$123,430",Bachelor's degree,Less than 5 years,None
Network and computer systems administrators,15-1244,Line item,333.2,344.5,11.3,3.4,0.5,23.9,"$80,600",Bachelor's degree,None,None
"Software and web developers, programmers, and testers",15-1250,Summary,"1,993.7","2,432.8",439.0,22.0,2.8,194.3,"$102,930",—,—,—
Computer programmers,15-1251,Line item,174.4,156.6,-17.8,-10.2,8.8,9.6,"$93,000",Bachelor's degree,None,None
Software developers,15-1252,Line item,"1,425.9","1,796.5",370.6,26.0,1.5,143.4,"$120,730",Bachelor's degree,None,None
Software quality assurance analysts and testers,15-1253,Line item,196.3,237.1,40.8,20.8,0.2,19.5,"$98,220",Bachelor's degree,None,None
Web developers,15-1254,Line item,95.3,124.1,28.9,30.3,5.5,11.0,"$77,030",Bachelor's degree,None,None
Web and digital interface designers,15-1255,Line item,101.8,118.4,16.6,16.3,14.3,10.8,"$79,890",Bachelor's degree,None,None
"Computer occupations, all other",15-1299,Line item,408.2,449.2,41.1,10.1,4.6,34.7,"$95,270",Bachelor's degree,None,None
Mathematical science occupations,15-2000,Summary,286.3,368.3,82.0,28.7,1.6,30.6,"$98,680",—,—,—
Actuaries,15-2011,Line item,28.3,34.2,5.9,20.8,3.7,2.4,"$105,900",Bachelor's degree,None,Long-term on-the-job training
Mathematicians,15-2021,Line item,2.0,2.0,0.0,-0.1,—,0.1,"$108,100",Master's degree,None,None
Operations research analysts,15-2031,Line item,104.2,128.3,24.2,23.2,0.6,10.3,"$82,360",Bachelor's degree,None,None
Statisticians,15-2041,Line item,34.2,45.3,11.2,32.7,1.5,3.9,"$95,570",Master's degree,None,None
Data scientists,15-2051,Line item,113.3,153.9,40.5,35.8,2.1,13.5,"$100,910",Bachelor's degree,None,None
"Mathematical science occupations, all other",15-2099,Line item,4.4,4.6,0.3,6.6,1.4,0.3,"$62,460",Bachelor's degree,None,None
Architecture and engineering occupations,17-0000,Summary,"2,562.5","2,653.7",91.3,3.6,2.4,200.9,"$79,840",—,—,—
"Architects, surveyors, and cartographers",17-1000,Summary,208.7,212.8,4.1,2.0,12.8,15.4,"$77,670",—,—,—
"Architects, except naval",17-1010,Summary,145.3,148.6,3.3,2.3,16.2,10.6,"$79,380",—,—,—
"Architects, except landscape and naval",17-1011,Line item,125.5,128.9,3.3,2.7,17.1,9.1,"$80,180",Bachelor's degree,None,Internship/residency
Landscape architects,17-1012,Line item,19.8,19.7,0.0,-0.1,10.4,1.5,"$67,950",Bachelor's degree,None,Internship/residency
"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,63.4,64.2,0.8,1.2,4.9,4.8,"$61,950",—,—,—
Cartographers and photogrammetrists,17-1021,Line item,13.4,13.7,0.3,2.6,3.3,1.0,"$68,900",Bachelor's degree,None,None
Surveyors,17-1022,Line item,50.0,50.4,0.4,0.9,5.4,3.8,"$61,600",Bachelor's degree,None,Internship/residency
Engineers,17-2000,Summary,"1,699.6","1,786.2",86.5,5.1,1.5,117.7,"$99,040",—,—,—
Aerospace engineers,17-2011,Line item,58.8,62.4,3.7,6.3,0.3,3.8,"$122,270",Bachelor's degree,None,None
Agricultural engineers,17-2021,Line item,1.2,1.2,0.0,1.5,—,0.1,"$82,640",Bachelor's degree,None,None
Bioengineers and biomedical engineers,17-2031,Line item,17.9,19.7,1.7,9.8,—,1.2,"$97,410",Bachelor's degree,None,None
Chemical engineers,17-2041,Line item,26.9,30.7,3.7,13.9,8.0,2.0,"$105,550",Bachelor's degree,None,None
Civil engineers,17-2051,Line item,318.3,340.4,22.1,6.9,2.3,24.2,"$88,050",Bachelor's degree,None,None
Computer hardware engineers,17-2061,Line item,76.9,80.6,3.7,4.8,1.0,5.3,"$128,170",Bachelor's degree,None,None
Electrical and electronics engineers,17-2070,Summary,303.8,313.6,9.8,3.2,1.3,20.1,"$101,780",—,—,—
Electrical engineers,17-2071,Line item,192.4,195.5,3.1,1.6,1.4,12.3,"$100,420",Bachelor's degree,None,None
"Electronics engineers, except computer",17-2072,Line item,111.4,118.0,6.7,6.0,1.2,7.8,"$104,820",Bachelor's degree,None,None
Environmental engineers,17-2081,Line item,44.0,45.8,1.8,4.2,—,3.4,"$96,820",Bachelor's degree,None,None
"Industrial engineers, including health and safety",17-2110,Summary,324.6,356.0,31.4,9.7,0.4,23.9,"$95,300",—,—,—
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,23.6,24.4,0.8,3.5,0.3,1.5,"$99,040",Bachelor's degree,None,None
Industrial engineers,17-2112,Line item,301.0,331.6,30.6,10.2,0.4,22.4,"$95,300",Bachelor's degree,None,None
Marine engineers and naval architects,17-2121,Line item,7.6,7.9,0.3,4.4,—,0.4,"$93,370",Bachelor's degree,None,None
Materials engineers,17-2131,Line item,22.1,23.4,1.3,6.1,—,1.7,"$98,300",Bachelor's degree,None,None
Mechanical engineers,17-2141,Line item,284.9,291.3,6.4,2.2,0.1,17.9,"$95,300",Bachelor's degree,None,None
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,7.5,7.7,0.1,1.9,—,0.5,"$97,090",Bachelor's degree,None,None
Nuclear engineers,17-2161,Line item,13.9,12.4,-1.5,-11.1,5.8,0.7,"$120,380",Bachelor's degree,None,None
Petroleum engineers,17-2171,Line item,22.8,24.6,1.9,8.3,—,1.7,"$130,850",Bachelor's degree,None,None
"Engineers, all other",17-2199,Line item,168.6,168.6,0.0,0.0,5.5,10.8,"$100,640",Bachelor's degree,None,None
"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,654.1,654.8,0.7,0.1,1.3,67.8,"$60,290",—,—,—
Drafters,17-3010,Summary,192.2,185.4,-6.7,-3.5,1.7,18.9,"$60,290",—,—,—
Architectural and civil drafters,17-3011,Line item,105.4,104.1,-1.3,-1.2,2.0,11.8,"$60,340",Associate's degree,None,None
Electrical and electronics drafters,17-3012,Line item,21.5,21.5,0.0,-0.1,1.4,2.0,"$61,510",Associate's degree,None,None
Mechanical drafters,17-3013,Line item,49.4,45.2,-4.2,-8.5,1.4,3.9,"$60,200",Associate's degree,None,None
"Drafters, all other",17-3019,Line item,15.9,14.7,-1.2,-7.6,1.3,1.3,"$54,240",Associate's degree,None,None
"Engineering technologists and technicians, except drafters",17-3020,Summary,402.2,407.4,5.2,1.3,1.0,41.1,"$60,690",—,—,—
Aerospace engineering and operations technologists and technicians,17-3021,Line item,11.3,11.9,0.7,5.9,1.3,1.2,"$73,580",Associate's degree,None,None
Civil engineering technologists and technicians,17-3022,Line item,66.3,66.1,-0.1,-0.2,0.7,6.5,"$58,320",Associate's degree,None,None
Electrical and electronic engineering technologists and technicians,17-3023,Line item,105.0,104.6,-0.4,-0.4,0.9,11.1,"$63,640",Associate's degree,None,None
Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,12.1,11.6,-0.4,-3.6,1.2,1.1,"$60,360",Associate's degree,None,None
Environmental engineering technologists and technicians,17-3025,Line item,15.5,16.1,0.6,4.0,1.0,1.6,"$48,390",Associate's degree,None,None
Industrial engineering technologists and technicians,17-3026,Line item,64.2,66.3,2.1,3.3,1.3,6.6,"$60,220",Associate's degree,None,None
Mechanical engineering technologists and technicians,17-3027,Line item,41.7,42.5,0.9,2.1,1.3,4.2,"$60,460",Associate's degree,None,None
Calibration technologists and technicians,17-3028,Line item,8.9,9.2,0.3,3.9,1.3,0.9,"$60,340",Associate's degree,None,None
"Engineering technologists and technicians, except drafters, all other",17-3029,Line item,77.3,78.9,1.6,2.1,0.9,7.8,"$61,950",Associate's degree,None,None
Surveying and mapping technicians,17-3031,Line item,59.8,62.0,2.2,3.6,2.1,7.8,"$46,910",High school diploma or equivalent,None,Moderate-term on-the-job training
"Life, physical, and social science occupations",19-0000,Summary,"1,436.0","1,534.7",98.7,6.9,4.6,147.9,"$72,740",—,—,—
Life scientists,19-1000,Summary,338.1,376.1,38.0,11.2,0.9,31.3,"$80,140",—,—,—
Agricultural and food scientists,19-1010,Summary,37.3,40.2,3.0,8.0,1.2,4.1,"$74,160",—,—,—
Animal scientists,19-1011,Line item,3.7,4.2,0.4,11.8,—,0.4,"$65,090",Bachelor's degree,None,None
Food scientists and technologists,19-1012,Line item,14.4,15.3,0.8,5.7,1.6,1.5,"$78,340",Bachelor's degree,None,None
Soil and plant scientists,19-1013,Line item,19.1,20.8,1.7,9.1,1.0,2.1,"$66,750",Bachelor's degree,None,None
Biological scientists,19-1020,Summary,125.9,135.6,9.7,7.7,0.1,12.1,"$82,680",—,—,—
Biochemists and biophysicists,19-1021,Line item,37.5,43.2,5.7,15.3,—,4.0,"$102,270",Doctoral or professional degree,None,None
Microbiologists,19-1022,Line item,20.8,22.6,1.9,9.0,—,2.0,"$79,260",Bachelor's degree,None,None
Zoologists and wildlife biologists,19-1023,Line item,17.1,17.2,0.1,0.7,—,1.5,"$64,650",Bachelor's degree,None,None
"Biological scientists, all other",19-1029,Line item,50.6,52.5,1.9,3.8,—,4.6,"$82,530",Bachelor's degree,None,None
Conservation scientists and foresters,19-1030,Summary,39.6,41.4,1.8,4.5,2.0,3.8,"$63,750",—,—,—
Conservation scientists,19-1031,Line item,24.6,25.3,0.7,3.0,1.8,2.3,"$63,750",Bachelor's degree,None,None
Foresters,19-1032,Line item,15.0,16.1,1.1,7.0,2.2,1.5,"$64,110",Bachelor's degree,None,None
Medical scientists,19-1040,Summary,127.9,150.9,23.0,18.0,1.3,10.9,"$90,640",—,—,—
Epidemiologists,19-1041,Line item,8.6,10.9,2.2,25.8,—,0.8,"$78,830",Master's degree,None,None
"Medical scientists, except epidemiologists",19-1042,Line item,119.2,140.0,20.8,17.4,1.3,10.0,"$95,310",Doctoral or professional degree,None,None
"Life scientists, all other",19-1099,Line item,7.5,8.0,0.5,6.6,0.9,0.5,"$81,500",Bachelor's degree,None,None
Physical scientists,19-2000,Summary,265.1,278.2,13.1,5.0,2.3,24.0,"$82,090",—,—,—
Astronomers and physicists,19-2010,Summary,25.2,27.2,2.0,8.0,6.6,2.1,"$147,450",—,—,—
Astronomers,19-2011,Line item,2.2,2.4,0.1,5.6,4.9,0.2,"$128,160",Doctoral or professional degree,None,None
Physicists,19-2012,Line item,23.0,24.8,1.9,8.2,6.7,1.9,"$152,430",Doctoral or professional degree,None,None
Atmospheric and space scientists,19-2021,Line item,9.1,9.4,0.3,3.6,—,0.7,"$94,570",Bachelor's degree,None,None
Chemists and materials scientists,19-2030,Summary,90.6,96.3,5.7,6.3,—,8.2,"$79,760",—,—,—
Chemists,19-2031,Line item,83.6,88.9,5.3,6.3,—,7.6,"$79,430",Bachelor's degree,None,None
Materials scientists,19-2032,Line item,7.0,7.4,0.4,6.0,—,0.6,"$100,090",Bachelor's degree,None,None
Environmental scientists and geoscientists,19-2040,Summary,111.7,116.7,5.0,4.5,0.4,10.8,"$78,340",—,—,—
"Environmental scientists and specialists, including health",19-2041,Line item,80.0,83.8,3.8,4.7,—,7.8,"$76,530",Bachelor's degree,None,None
"Geoscientists, except hydrologists and geographers",19-2042,Line item,24.9,26.2,1.2,5.0,1.6,2.4,"$83,680",Bachelor's degree,None,None
Hydrologists,19-2043,Line item,6.8,6.7,0.0,-0.4,0.8,0.6,"$84,030",Bachelor's degree,None,None
"Physical scientists, all other",19-2099,Line item,28.5,28.6,0.1,0.4,13.6,2.2,"$104,100",Bachelor's degree,None,None
Social scientists and related workers,19-3000,Summary,312.0,328.3,16.3,5.2,16.9,26.2,"$80,890",—,—,—
Economists,19-3011,Line item,16.9,17.8,1.0,5.7,1.4,1.4,"$105,630",Master's degree,None,None
Survey researchers,19-3022,Line item,10.4,11.0,0.7,6.3,7.1,1.0,"$59,740",Master's degree,None,None
Psychologists,19-3030,Summary,181.6,192.9,11.3,6.2,26.5,14.1,"$81,040",—,—,—
Industrial-organizational psychologists,19-3032,Line item,2.9,3.0,0.1,3.8,76.1,0.2,"$105,310",Master's degree,None,Internship/residency
Clinical and counseling psychologists,19-3033,Line item,65.4,71.9,6.5,9.9,8.4,5.1,"$82,510",Doctoral or professional degree,None,Internship/residency
School psychologists,19-3034,Line item,57.9,61.1,3.2,5.5,—,4.8,"$78,780",Master's degree,None,Internship/residency
"Psychologists, all other",19-3039,Line item,55.4,56.9,1.5,2.8,73.2,4.0,"$102,900",Master's degree,None,Internship/residency
Sociologists,19-3041,Line item,3.0,3.1,0.2,5.4,5.4,0.3,"$92,910",Master's degree,None,None
Urban and regional planners,19-3051,Line item,41.9,43.5,1.6,3.8,4.6,3.8,"$78,500",Master's degree,None,None
Miscellaneous social scientists and related workers,19-3090,Summary,58.4,60.0,1.6,2.8,2.7,5.6,"$82,390",—,—,—
Anthropologists and archeologists,19-3091,Line item,7.5,7.9,0.5,6.1,5.5,0.8,"$61,910",Master's degree,None,None
Geographers,19-3092,Line item,1.6,1.6,0.0,-0.2,—,0.1,"$85,220",Bachelor's degree,None,None
Historians,19-3093,Line item,3.3,3.4,0.1,4.5,3.4,0.3,"$63,940",Master's degree,None,None
Political scientists,19-3094,Line item,6.3,6.7,0.4,6.2,2.7,0.6,"$122,510",Master's degree,None,None
"Social scientists and related workers, all other",19-3099,Line item,39.8,40.4,0.6,1.6,2.2,3.7,"$84,430",Bachelor's degree,None,None
"Life, physical, and social science technicians",19-4000,Summary,388.4,413.4,25.0,6.4,1.2,51.9,"$48,370",—,—,—
Agricultural and food science technicians,19-4010,Summary,31.6,34.4,2.7,8.7,—,4.9,"$44,700",—,—,—
